question,answer
What percent of Native American ancestry may originate through gene flow from the Mal'ta-Buret' population?,14 to 38 percent
"In Africa, the finances are often moved where?",overseas
"Along with the first and second, what person influenced verb variation in Old English?",third
WHere was the proposed conference held?,Memorial Hall
"Which note is occasionally called a ""yardstick""?",$50
Where are Burgenland Croats located?,Austria
What type of sacrifice victims were the dark gods offered?,"dark, fertile"
How much did the European Commission estimate the GDP growth for the UK would be in 2009?,−1.0%
What is the average annual precipitation along San Diego's coast?,10.65 inches (271 mm)
Who imposed various sanction on the people?,Russian Empire
Where does transcription occur in eukaryotes?,transcription occurs in the nucleus
What role did Arthur Holly Compton serve at Washington University?,chancellor
Who managed the state after the death of Emperor He?,Empress Deng Sui
What is the Catholic cathedral of Cork?,St Mary's Cathedral
Which type of construction is more expensive?,Through-hole
What does Negrito mean?,"""little black people"""
What discussion proved an example of the difficulty of explaining what foods were and were not included in the Goods and Services Tax?,the infamous birthday cake interview
What is Eton's rowing club called?,Eton Manor Boys' Club
When were MANPADs introduced?,the 1960s
Who owns the majority of pre-1950 Paramount sound releases?,"EMKA, Ltd./NBCUniversal Television Distribution"
What country was opposed to the invasion of the canal?,U.S.
What was the minimum amount of earnings that would be restated by Dell's investigation?,$50 million
How many miles long is Antarctica's coast line?,"11,165"
In what European country has VRS services become well developed?,Sweden
What law did Australia make about incandescent light bulbs?,prohibited them already
Social insects live in well organized what?,colonies
How is a membership organization run?,elects the board and has regular meetings and the power to amend the bylaws
What was Whitehead's opinion on the inclusion of values and general principles in education?,"it should be transdisciplinary, and laden with values and general principles that provide students with a bedrock of wisdom"
Who discovered non-radio uses for early LED devices?,Kroemer Braunstein
When did the North American natives begin farming?,"approximately 4,000 years ago"
In what year was the SFA founded?,1975
How many communes of the outer suburbs are included in the metropole?,seven
What type of life varies greatly with the elevation in the mountains?,flora
"What is one called that believes he has the one religion, but that the others aren't necessarily wrong?",pluralism
"What else besides  invariance, or symmetry and group part ways in relativistic physics?",the covariance group
Who was the Secretary of War who modernized the US military at the beginning of the 20th century?,Elihu Root
What was the new name for the National Union?,Arab Socialist Union
What are there besides degrees of similarity with Occitan?,differences
Which huge internet seller is headquartered in Seattle?,Amazon.com
"In what year was AT&T's ""Picturephone"" device introduced?",1964
"According to Hodgson, where did the Ethio-Somalis originate?",the Near East
Which game journalist was perturbed by a lack of voiced dialogue?,Javier Glickman
What was the first station to show programs in color?,BBC Two
What occurred in the atmosphere of the earth after the crust was formed?,water began accumulating
What is the goal of the textual critic?,"a ""critical edition"""
"Inspired by his own relationship, what romantic tale did Napoleon author?",Clisson et Eugénie
How did Victoria find Albert's looks?,most pleasing and delightful exterior and appearance
What are factors that determine shaft torque?,"torque current), voltage, pole-pair number, excitation frequency (i.e., synchronous speed), and air-gap flux density"
What was the value of Apple's cash assets at the end of 2007?,$15.4 billion
By which name is the country called by most English speaking countries?,"Burma continues to be used in English by the governments of many countries, such as Australia, Canada and the United Kingdom"
What race makes up the vast majority of Southampton's population?,White
"Aside from Switzerland, what country speaks a dialect related to Swiss German?",Liechtenstein
"As of Summer 2009, what was the cost to Sony to make a PS3?",$240
Which pope decided that being pope was equal to being a prince?,Pope Urban VIII
What was reported to be entering the country prior to the election?,arms
What is generally used as starch in most beer?,malted grain
In what century were sailors obligated to relocate from Plympton due to silting?,11th
Who represent's Tucson's wealthy areas in Congress?,Martha McSally
What can be found on the Start screen?,displays programs and dynamically updated content on a grid of tiles
What were the traditional building materials on Tuvalu?,plants and trees
In which four countries were the impacts of avant garde art particularly strong?,"France, Germany, the Netherlands and Czechoslovakia"
How was the ASA scale shown on models built after 1946?,"labeled ""Exposure Index"""
What else was music incorrectly catagorized into before post-punk?,new wave music
What is reverse migration?,where the genetic programming of young birds fails to work properly
